,link_photo,name,brand,price,type
66,https://www.bieres.com/1794-home_default/la-salamandra-.jpg,La Salamandra,Brasserie de l'Être,,
67,https://www.bieres.com/608-home_default/myrha-33cl-brasserie-de-la-goutte-d-or.jpg,Myrha,Brasserie de la Goutte d'Or,,
68,https://www.bieres.com/1257-home_default/chateau-rouge-33cl-brasserie-de-la-goutte-d-or.jpg,Château Rouge,Brasserie de la Goutte d'Or,,
69,https://www.bieres.com/362-home_default/french-ipa-3375cl-la-malpolon.jpg,French IPA,La Malpolon,,
70,https://www.bieres.com/623-home_default/ernestine-33cl-brasserie-de-la-goutte-d-or.jpg,Ernestine,Brasserie de la Goutte d'Or,,
71,https://www.bieres.com/1637-home_default/brumaire-et-frimaire.jpg,Brumaire et Frimaire,Deck & Donohue,,
72,https://www.bieres.com/671-home_default/mediterranean-pale-ale-mpa-3375cl-la-malpolon.jpg,Mediterranean Pale Ale (MPA),La Malpolon,,
73,https://www.bieres.com/557-home_default/chapelle-33cl-brasserie-de-la-goutte-d-or.jpg,Chapelle,Brasserie de la Goutte d'Or,,
74,https://www.bieres.com/689-home_default/petite-pigalle.jpg,Petite Pigalle,Brasserie de la Goutte d'Or,,
75,https://www.bieres.com/443-home_default/orange-mecanique-33cl-brasserie-sainte-cru.jpg,Orange Mécanique,Brasserie Sainte Cru,,
76,https://www.bieres.com/500-home_default/red-is-dead-33cl-brasserie-sainte-cru.jpg,Red is Dead,Brasserie Sainte Cru,,
77,https://www.bieres.com/1524-home_default/tempete-du-desert-33cl-brasserie-sainte-cru.jpg,Tempête du Désert,Brasserie Sainte Cru,,
78,https://www.bieres.com/1152-home_default/white-rabbit-33cl-brasserie-sainte-cru.jpg,White Rabbit,Brasserie Sainte Cru,,
79,https://www.bieres.com/1046-home_default/don-t-panic-33cl-brasserie-sainte-cru.jpg,Don't Panic,Brasserie Sainte Cru,,
80,https://www.bieres.com/452-home_default/sex-ale-rock-n-roll-33cl-brasserie-sainte-cru.jpg,Sex Ale & Rock'n'Roll,Brasserie Sainte Cru,,
81,https://www.bieres.com/626-home_default/fur-bones-33cl-brasserie-la-debauche.jpg,Fur & Bones,La Débauche,,
82,https://www.bieres.com/473-home_default/double-face-33cl-brasserie-la-debauche.jpg,Double Belge,La Débauche,,
83,https://www.bieres.com/1587-home_default/cognac-barrel-33cl-brasserie-la-debauche.jpg,Cognac Barrel,La Débauche,,
84,https://www.bieres.com/1542-home_default/nevermore-33cl-brasserie-la-debauche.jpg,Nevermore,La Débauche,,
85,https://www.bieres.com/1736-home_default/demi-mondaine-33cl-brasserie-la-debauche.jpg,Demi-Mondaine,La Débauche,,
86,https://www.bieres.com/1500-home_default/big-boy-33cl-brasserie-la-debauche.jpg,Big-Boy,La Débauche,,
87,https://www.bieres.com/569-home_default/kama-33cl-brasserie-la-debauche.jpg,Kama,La Débauche,,
88,https://www.bieres.com/352-home_default/good-boy-ipa-33cl-brasserie-la-debauche.jpg,Good Boy IPA,La Débauche,,
89,https://www.bieres.com/340-home_default/alma-33cl-brasserie-la-debauche.jpg,Alma,La Débauche,,
90,https://www.bieres.com/641-home_default/milkshake-passion-ipa-33cl-brasserie-la-debauche.jpg,Milkshake Passion IPA,La Débauche,,
91,https://www.bieres.com/581-home_default/hazy-diamond-33cl-brasserie-la-debauche.jpg,Hazy Diamond,La Débauche,,
92,https://www.bieres.com/415-home_default/cherry-leader-33cl-brasserie-la-debauche.jpg,Cherry Leader,La Débauche,,
93,https://www.bieres.com/1052-home_default/black-ale-india-33cl-brasserie-la-debauche.jpg,Black Ale India,La Débauche,,
94,https://www.bieres.com/1049-home_default/ipa-33cl-brasserie-la-debauche.jpg,IPA,La Débauche,,
95,https://www.bieres.com/605-home_default/denise-33cl-brasserie-du-grand-paris.jpg,Denise,Brasserie du Grand Paris,,
96,https://www.bieres.com/536-home_default/a-l-ouest-33cl-brasserie-du-grand-paris.jpg,A l'Ouest,Brasserie du Grand Paris,,
97,https://www.bieres.com/530-home_default/citra-galactique-ipa-33cl-brasserie-du-grand-paris.jpg,Citra Galactique IPA,Brasserie du Grand Paris,,
98,https://www.bieres.com/1506-home_default/waimea-bay-33cl-brasserie-du-grand-paris.jpg,Waimea Bay,Brasserie du Grand Paris,,
99,https://www.bieres.com/1575-home_default/nice-to-meet-you-33cl-brasserie-du-grand-paris.jpg,Nice to Meet You,Brasserie du Grand Paris,,
100,https://www.bieres.com/485-home_default/smoke-on-the-water-33cl-brasserie-du-grand-paris.jpg,Smoke on the Water,Brasserie du Grand Paris,,
101,https://www.bieres.com/379-home_default/l-express-33cl-brasserie-du-grand-paris.jpg,L'Express,Brasserie du Grand Paris,,
102,https://www.bieres.com/614-home_default/porte-doree-33cl-brasserie-du-grand-paris.jpg,Porte Dorée,Brasserie du Grand Paris,,
103,https://www.bieres.com/647-home_default/l-abbaye-de-saint-bon-chien-375cl-brasserie-bfm.jpg,L'Abbaye de Saint Bon-Chien,Brasserie Franche Montagne (BFM),,
104,https://www.bieres.com/112-home_default/moonlight-black-ale.jpg,Moonlight Black Ale,Coconino,,
105,https://www.bieres.com/1858-home_default/the-perfect-crime.jpg,The Perfect Crime,Siren Craft Brew,,
106,https://www.bieres.com/114-home_default/hoppy-pale-ale-33cl-coconino.jpg,Hoppy Pale Ale,Coconino,,
107,https://www.bieres.com/117-home_default/hop-series-session-ipa-33cl-coconino.jpg,Hop Series Session IPA,Coconino,,
108,https://www.bieres.com/120-home_default/black-mamba-33cl-coconino.jpg,Black Mamba,Coconino,,
109,https://www.bieres.com/662-home_default/agent-provocateur-33cl75cl-brasserie-craig-allan.jpg,Agent provocateur,Craig Allan,,
110,https://www.bieres.com/680-home_default/psychedelia-33cl75cl-brasserie-craig-allan.jpg,Psychédélia,Craig Allan,,
111,https://www.bieres.com/665-home_default/psychedelia-33cl75cl-brasserie-craig-allan.jpg,Black Market,Craig Allan,,
112,https://www.bieres.com/1611-home_default/cuvee-d-oscar-375cl-brasserie-craig-allan.jpg,Cuvée d'Oscar,Craig Allan,,
113,https://www.bieres.com/380-home_default/eroica-33cl-the-piggy-brewing-company.jpg,Eroica,The Piggy Brewing Company,,
114,https://www.bieres.com/437-home_default/pick-me-up-33cl-the-piggy-brewing-company.jpg,Pick Me Up,The Piggy Brewing Company,,
115,https://www.bieres.com/599-home_default/ink-dagger-33cl-amundsen.jpg,Ink & Dagger,Amundsen,,
116,https://www.bieres.com/590-home_default/apocalyptic-thunder-juice-33cl-amundsen.jpg,Apocalyptic Thunder Juice,Amundsen,,
117,https://www.bieres.com/587-home_default/hopbliminal-messages-33cl-amundsen.jpg,Hopbliminal Messages,Amundsen,,
